,EventName,RoundNumber,eventYear,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,StintLen,CircuitLength,designedLaps
27,Abu Dhabi Grand Prix,17,2020,MEDIUM,LEC,1.0,95.881,Qualifying,23.477272727272723,28.236363636363635,51.877272727272725,0.0,12.0,13.0,1.0,4.0,22.0,5.554,55
28,Abu Dhabi Grand Prix,17,2020,MEDIUM,MAG,2.0,97.863,Qualifying,22.643749999999997,26.11875,61.6625,0.0,20.0,18.0,2.0,1.0,16.0,5.554,55
29,Abu Dhabi Grand Prix,17,2020,MEDIUM,MAG,3.0,97.863,Qualifying,22.314285714285717,25.5,62.642857142857146,0.0,20.0,18.0,3.0,1.0,7.0,5.554,55
30,Abu Dhabi Grand Prix,17,2020,MEDIUM,OCO,1.0,96.359,Qualifying,23.56,28.910000000000004,51.65,0.0,10.0,9.0,1.0,1.0,10.0,5.554,55
31,Abu Dhabi Grand Prix,17,2020,MEDIUM,RAI,1.0,97.555,Qualifying,23.56,28.880000000000003,51.65999999999999,0.0,15.0,12.0,1.0,1.0,10.0,5.554,55
32,Abu Dhabi Grand Prix,17,2020,MEDIUM,RAI,2.0,97.555,Qualifying,23.4,27.9,51.7,0.0,15.0,12.0,2.0,,1.0,5.554,55
33,Abu Dhabi Grand Prix,17,2020,MEDIUM,RIC,2.0,96.406,Qualifying,22.45,25.737499999999997,62.31875,0.0,11.0,7.0,2.0,1.0,16.0,5.554,55
34,Abu Dhabi Grand Prix,17,2020,MEDIUM,RUS,1.0,98.045,Qualifying,23.549999999999997,28.880000000000003,51.73,0.0,16.0,15.0,1.0,1.0,10.0,5.554,55
35,Abu Dhabi Grand Prix,17,2020,MEDIUM,SAI,1.0,95.815,Qualifying,23.56,28.910000000000004,51.65,0.0,6.0,6.0,1.0,4.0,10.0,5.554,55
36,Abu Dhabi Grand Prix,17,2020,MEDIUM,VER,1.0,95.246,Qualifying,23.56,28.93,51.620000000000005,0.0,1.0,1.0,1.0,4.0,10.0,5.554,55
37,Abu Dhabi Grand Prix,17,2020,MEDIUM,VET,2.0,96.631,Qualifying,22.50526315789474,25.831578947368417,62.09473684210526,0.0,13.0,14.0,2.0,1.0,19.0,5.554,55
38,Abu Dhabi Grand Prix,17,2020,SOFT,ALB,1.0,95.571,Qualifying,23.56,28.910000000000004,51.65,0.0,5.0,4.0,1.0,4.0,10.0,5.554,55
39,Abu Dhabi Grand Prix,17,2020,SOFT,FIT,4.0,98.173,Qualifying,22.3,25.439999999999998,62.74000000000001,0.0,17.0,19.0,4.0,1.0,5.0,5.554,55
40,Abu Dhabi Grand Prix,17,2020,SOFT,GAS,1.0,96.242,Qualifying,23.56,28.910000000000004,51.65,0.0,9.0,8.0,1.0,4.0,10.0,5.554,55
41,Abu Dhabi Grand Prix,17,2020,SOFT,KVY,1.0,95.963,Qualifying,23.56,28.910000000000004,51.65,0.0,7.0,11.0,1.0,4.0,10.0,5.554,55
42,Abu Dhabi Grand Prix,17,2020,SOFT,NOR,1.0,95.497,Qualifying,23.56,28.910000000000004,51.65,0.0,4.0,5.0,1.0,4.0,10.0,5.554,55
43,Abu Dhabi Grand Prix,17,2020,SOFT,STR,1.0,96.046,Qualifying,23.56,28.910000000000004,51.65,0.0,8.0,10.0,1.0,4.0,10.0,5.554,55
44,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,GRO,1.0,96.192,Qualifying,32.57142857142857,34.471428571428575,37.74285714285715,0.0,7.0,9.0,1.0,4.0,7.0,5.554,55
45,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,HUL,1.0,96.542,Qualifying,32.3,34.1,38.7,0.0,10.0,20.0,1.0,4.0,1.0,5.554,55
46,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,LEC,1.0,96.237,Qualifying,32.55714285714286,34.51428571428572,37.785714285714285,0.0,8.0,7.0,1.0,4.0,7.0,5.554,55
47,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,OCO,1.0,96.54,Qualifying,32.87222222222223,34.37777777777777,37.0,0.0,9.0,17.0,1.0,4.0,18.0,5.554,55
48,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,RIC,2.0,95.401,Qualifying,27.4,28.3,65.2,0.0,5.0,4.0,2.0,34.0,1.0,5.554,55
49,Abu Dhabi Grand Prix,21,2018,HYPERSOFT,VER,1.0,95.589,Qualifying,32.85882352941177,34.4,37.023529411764706,0.0,6.0,3.0,1.0,4.0,17.0,5.554,55
50,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,ALO,2.0,97.743,Qualifying,28.940740740740736,31.25185185185185,57.08518518518519,0.07407407407407407,15.0,11.0,2.0,1.0,27.0,5.554,55
51,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,BOT,2.0,94.956,Qualifying,31.224999999999998,32.891666666666666,46.56666666666666,0.16666666666666666,2.0,5.0,2.0,1.0,24.0,5.554,55
52,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,ERI,1.0,97.132,Qualifying,32.93333333333334,34.34166666666667,37.225,0.0,12.0,18.0,1.0,1.0,24.0,5.554,55
53,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,GAS,1.0,98.166,Qualifying,32.62413793103449,33.96551724137932,39.248275862068965,0.10344827586206896,17.0,16.0,1.0,1.0,29.0,5.554,55
54,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,GRO,2.0,96.192,Qualifying,30.621276595744686,32.44468085106383,49.08297872340426,0.06382978723404255,7.0,9.0,2.0,1.0,47.0,5.554,55
55,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,HAM,2.0,94.794,Qualifying,30.633333333333336,32.458333333333336,49.020833333333336,0.08333333333333333,1.0,1.0,2.0,1.0,48.0,5.554,55
56,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,HAR,2.0,97.994,Qualifying,30.75192307692308,32.56923076923077,48.32692307692308,0.057692307692307696,16.0,12.0,2.0,3.0,52.0,5.554,55
57,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,LEC,2.0,96.237,Qualifying,30.51875,32.37708333333333,49.574999999999996,0.0625,8.0,7.0,2.0,1.0,48.0,5.554,55
58,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,MAG,1.0,97.309,Qualifying,31.83658536585366,33.44146341463414,43.01219512195122,0.07317073170731707,13.0,10.0,1.0,1.0,41.0,5.554,55
59,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,OCO,2.0,96.54,Qualifying,30.9037037037037,32.63333333333333,48.096296296296295,0.1111111111111111,9.0,17.0,2.0,1.0,27.0,5.554,55
60,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,PER,2.0,97.255,Qualifying,28.917241379310347,31.224137931034484,57.20344827586207,0.10344827586206896,14.0,8.0,2.0,1.0,29.0,5.554,55
61,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,RIC,2.0,95.401,Qualifying,28.852380952380948,31.366666666666664,57.280952380952385,0.0,5.0,4.0,2.0,1.0,21.0,5.554,55
62,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,SAI,2.0,96.982,Qualifying,28.32777777777778,30.811111111111114,59.93333333333333,0.0,11.0,6.0,2.0,1.0,18.0,5.554,55
63,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,SIR,1.0,98.635,Qualifying,32.08571428571429,33.58285714285714,41.81142857142857,0.08571428571428572,19.0,15.0,1.0,1.0,35.0,5.554,55
64,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,STR,1.0,98.682,Qualifying,31.872500000000002,33.467499999999994,42.83,0.075,20.0,13.0,1.0,1.0,40.0,5.554,55
65,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,VAN,1.0,98.577,Qualifying,32.09142857142857,33.58285714285713,41.74,0.08571428571428572,18.0,14.0,1.0,1.0,35.0,5.554,55
66,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,VER,2.0,95.589,Qualifying,29.978947368421046,31.963157894736835,52.352631578947374,0.10526315789473684,6.0,3.0,2.0,1.0,38.0,5.554,55
67,Abu Dhabi Grand Prix,21,2018,SUPERSOFT,VET,2.0,95.125,Qualifying,30.135,32.082499999999996,51.55,0.1,3.0,2.0,2.0,1.0,40.0,5.554,55
68,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,ALO,1.0,97.743,Qualifying,32.7962962962963,34.15185185185185,38.33703703703704,0.037037037037037035,15.0,11.0,1.0,1.0,27.0,5.554,55
69,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,BOT,1.0,94.956,Qualifying,32.825,34.40625,37.1125,0.0,2.0,5.0,1.0,4.0,16.0,5.554,55
